workload,trials,bare_mean_ms,bare_median_ms,wrapped_mean_ms,wrapped_median_ms,overhead_mean_ms,welch_t,welch_p
noop,30,16.88,16.55,19.46,17.83,2.58,2.461,0.01385
short_py,30,18.42,18.29,19.47,19.47,1.05,2.066,0.03878
